id_commande,id_date,id_client,sk_produit,id_region,id_livreur,quantite,prix_unitaire,montant_ttc,statut
ORD-000034,20250610,C00027,66,3,L005,3,4450.73,13352.189999999999,en_cours
ORD-000035,20250521,C01097,12,5,L005,3,10834.16,32502.48,livré
ORD-000036,20251118,C00581,53,0,L014,3,4181.07,12543.21,livré
ORD-000037,20250926,C01966,59,3,L003,2,11009.59,22019.18,retourné
ORD-000038,20251111,C04618,30,7,L014,5,12693.09,63465.45,retourné
ORD-000039,20250531,C00591,76,1,L001,1,8784.09,8784.09,retourné
ORD-000040,20250608,C01583,59,5,L003,5,11009.59,55047.95,en_cours
ORD-000041,20250605,C02246,6,7,L020,3,5559.01,16677.03,retourné
ORD-000042,20260319,C04395,11,0,L019,5,14137.04,70685.20000000001,livré
ORD-000043,20260418,C03795,99,6,L016,3,10088.39,30265.17,retourné
ORD-000044,20250715,C03058,35,7,L007,1,3344.28,3344.28,livré
ORD-000045,20260427,C01715,71,6,L013,1,2615.47,2615.47,retourné
ORD-000046,20260114,C01486,62,5,L010,5,2873.94,14369.7,en_cours
ORD-000047,20250815,C03304,65,1,L020,5,8042.6,40213.0,annulé
ORD-000049,20260504,C02063,45,4,L004,4,3745.48,14981.92,en_cours
ORD-000050,20250608,C00752,55,0,L008,4,1724.7,6898.8,livré
ORD-000051,20251226,C02108,57,6,L001,1,10362.31,10362.31,retourné
ORD-000052,20250521,C04102,4,1,-1,3,8048.06,24144.18,annulé
ORD-000053,20250929,C04113,2,7,L015,3,2990.58,8971.74,en_cours
ORD-000054,20251023,C04904,55,1,L011,2,1724.7,3449.4,retourné
ORD-000055,20250731,C04336,48,6,L016,3,13396.47,40189.409999999996,retourné
ORD-000056,20260227,C01381,15,1,L017,5,7919.83,39599.15,retourné
ORD-000057,20250826,C04793,56,4,L018,4,12291.32,49165.28,livré
ORD-000058,20260105,C03790,11,1,-1,3,14137.04,42411.12,retourné
ORD-000059,20260108,C02488,88,5,L008,2,4317.81,8635.62,retourné
ORD-000060,20260109,C04935,87,2,-1,5,12786.6,63933.0,retourné
ORD-000062,20250520,C01217,74,4,-1,3,10333.28,30999.840000000004,retourné
ORD-000063,20250728,C04534,10,3,L013,3,716.27,2148.81,retourné
ORD-000064,20251217,C02781,9,1,L011,4,8424.91,33699.64,livré
ORD-000065,20250611,C01275,11,0,L002,5,14137.04,70685.20000000001,retourné
ORD-000066,20250714,C01309,65,4,-1,3,8042.6,24127.800000000003,retourné
ORD-000067,20260302,C02524,48,3,L016,2,13396.47,26792.94,en_cours
ORD-000069,20251214,C03068,42,1,L009,5,1281.09,6405.45,annulé
ORD-000070,20260128,C03212,95,3,-1,3,10216.02,30648.06,livré
ORD-000071,20260402,C01862,14,0,L004,2,8514.68,17029.36,retourné
ORD-000072,20250622,C03035,93,0,L002,2,4435.51,8871.02,livré
ORD-000073,20260126,C01748,29,6,L001,1,11138.83,11138.83,livré
ORD-000074,20251015,C04603,73,5,L017,5,3991.83,19959.15,en_cours
ORD-000075,20250826,C02033,48,6,-1,1,13396.47,13396.47,retourné
ORD-000077,20250821,C03126,35,0,L012,5,3344.28,16721.4,livré
ORD-000078,20250717,C02160,71,3,L020,1,2615.47,2615.47,annulé
ORD-000079,20250824,C03209,46,4,L018,5,9193.66,45968.3,livré
ORD-000081,20260405,C04152,86,1,L010,4,7894.01,31576.04,retourné
ORD-000082,20250819,C03187,48,0,L002,5,13396.47,66982.34999999999,en_cours
ORD-000083,20260210,C02104,2,5,L012,2,2990.58,5981.16,annulé
ORD-000084,20250711,C02968,3,4,L018,3,2340.64,7021.92,en_cours
ORD-000085,20260408,C03236,93,2,L014,4,4435.51,17742.04,en_cours
ORD-000086,20250529,C04903,90,3,L002,1,11889.87,11889.87,retourné
ORD-000087,20260424,C74942,90,4,L001,3,11889.87,35669.61,en_cours
ORD-000088,20251128,C03740,7,4,L008,1,9603.6,9603.6,annulé
ORD-000089,20250904,C01099,88,5,L008,5,4317.81,21589.050000000003,livré
ORD-000090,20250529,C03205,16,2,L007,3,1823.85,5471.549999999999,annulé
ORD-000091,20250818,C03645,90,0,L010,3,11889.87,35669.61,en_cours
ORD-000092,20250819,C00719,12,0,L017,5,10834.16,54170.8,annulé
ORD-000093,20250928,C04631,57,5,L004,1,10362.31,10362.31,annulé
ORD-000094,20250815,C04833,35,4,L007,5,3344.28,16721.4,retourné
ORD-000095,20251102,C03541,30,3,L011,1,12693.09,12693.09,retourné
ORD-000096,20251216,C01892,60,4,L015,1,14019.98,14019.98,retourné
ORD-000098,20251111,C00881,43,0,L004,2,376.14,752.28,retourné
ORD-000099,20250811,C02755,70,0,L008,1,6438.16,6438.16,annulé
ORD-000100,20251128,C03750,58,4,-1,3,1043.66,3130.9800000000005,livré
ORD-000101,20250713,C04726,63,6,L014,5,268.48,1342.4,livré
ORD-000102,20250718,C04689,27,0,L019,2,1508.72,3017.44,annulé
ORD-000103,20250528,C04645,63,3,L008,5,268.48,1342.4,retourné
ORD-000104,20260204,C00886,97,5,L005,2,12372.1,24744.2,annulé
ORD-000105,20251021,C03101,34,2,L005,3,13868.06,41604.18,annulé
ORD-000106,20251105,C02695,3,0,L019,4,2340.64,9362.56,en_cours
ORD-000107,20260508,C02350,24,3,L015,5,862.62,4313.1,annulé
ORD-000108,20250514,C02427,23,7,L006,5,4457.65,22288.25,livré
ORD-000109,20251211,C04387,71,5,L008,5,2615.47,13077.349999999999,en_cours
ORD-000110,20260223,C00894,23,0,L006,2,4457.65,8915.3,livré
ORD-000111,20250617,C01892,22,0,L013,1,42.31,42.31,annulé
ORD-000112,20251014,C89204,88,0,L019,2,4317.81,8635.62,en_cours
ORD-000114,20250822,C00828,1,0,L009,4,2101.67,8406.68,annulé
ORD-000115,20250824,C00894,16,5,L002,2,1823.85,3647.7,annulé
ORD-000116,20260201,C02005,23,2,L018,2,4457.65,8915.3,livré
ORD-000117,20250831,C02320,24,1,L013,1,862.62,862.62,en_cours
ORD-000119,20251212,C04426,12,1,L020,2,10834.16,21668.32,en_cours
ORD-000120,20260328,C04968,69,4,L007,2,1286.86,2573.72,livré
ORD-000121,20250604,C00425,11,6,L009,1,14137.04,14137.04,annulé
ORD-000122,20250625,C01194,83,3,L014,1,4485.35,4485.35,annulé
ORD-000123,20250703,C04614,27,5,L013,3,1508.72,4526.16,annulé
ORD-000124,20260324,C03804,80,4,L009,4,9454.03,37816.12,annulé
ORD-000125,20251114,C01871,3,2,L010,4,2340.64,9362.56,annulé
ORD-000126,20250919,C03725,6,6,L004,1,5559.01,5559.01,retourné
ORD-000128,20250525,C02095,41,4,L017,3,8703.97,26111.909999999996,annulé
ORD-000129,20251214,C03339,2,7,L002,5,2990.58,14952.9,livré
ORD-000130,20250917,C02467,79,1,L011,4,11402.26,45609.04,retourné
ORD-000131,20260116,C02217,46,7,L017,3,9193.66,27580.98,annulé
ORD-000132,20260416,C01716,16,0,L013,2,1823.85,3647.7,en_cours
ORD-000133,20260204,C04290,2,5,L003,1,2990.58,2990.58,retourné
ORD-000134,20260107,C02106,90,4,L019,3,11889.87,35669.61,en_cours
ORD-000135,20251102,C00144,76,3,L003,3,8784.09,26352.27,annulé
ORD-000136,20250717,C04673,37,5,L017,3,14556.31,43668.93,annulé
ORD-000138,20250612,C03617,69,1,L001,3,1286.86,3860.58,annulé
ORD-000139,20260218,C04618,98,3,L004,2,14699.33,29398.66,en_cours
ORD-000141,20251021,C00646,45,5,L013,1,3745.48,3745.48,en_cours
ORD-000142,20250927,C02168,50,6,L005,3,4486.2,13458.599999999999,annulé
ORD-000143,20250518,C03746,34,5,L014,4,13868.06,55472.24,retourné
ORD-000144,20251204,C03794,52,1,-1,2,6434.91,12869.82,retourné
ORD-000145,20250723,C03349,59,6,L005,2,11009.59,22019.18,en_cours
ORD-000146,20250708,C01646,55,3,L016,5,1724.7,8623.5,retourné
ORD-000147,20250623,C03638,58,0,L002,4,1043.66,4174.64,annulé
ORD-000148,20251027,C03482,62,1,L014,1,2873.94,2873.94,annulé
ORD-000149,20250703,C02970,40,4,L013,5,1918.04,9590.2,retourné
ORD-000150,20250817,C03084,1,0,L013,3,2101.67,6305.01,en_cours
ORD-000151,20260306,C01385,37,2,L003,4,14556.31,58225.24,livré
ORD-000152,20251009,C02758,56,2,L016,5,12291.32,61456.6,livré
ORD-000153,20250512,C03388,48,7,L004,1,13396.47,13396.47,retourné
ORD-000154,20251021,C01282,21,5,L015,2,14989.24,29978.48,en_cours
ORD-000155,20260328,C02151,77,1,L001,3,10408.17,31224.510000000002,retourné
ORD-000156,20260405,C03919,66,0,L008,2,4450.73,8901.46,livré
ORD-000157,20260507,C03423,62,5,L003,2,2873.94,5747.88,livré
ORD-000158,20251020,C03158,8,1,-1,2,13697.91,27395.82,en_cours
ORD-000161,20260505,C00723,81,7,L009,5,6927.1,34635.5,livré
ORD-000163,20260228,C04915,77,5,L018,2,10408.17,20816.34,en_cours
ORD-000164,20250929,C00191,44,1,L009,2,6000.8,12001.6,en_cours
ORD-000165,20250819,C03648,82,3,L002,3,8273.46,24820.379999999997,retourné
ORD-000166,20251013,C04235,11,3,L007,4,14137.04,56548.16,livré
ORD-000167,20250802,C02885,51,0,L011,4,11974.15,47896.6,livré
ORD-000168,20260127,C01986,35,1,L008,4,3344.28,13377.12,en_cours
ORD-000169,20250925,C01961,48,2,L003,2,13396.47,26792.94,retourné
ORD-000170,20251029,C03481,1,5,L013,5,2101.67,10508.35,annulé
ORD-000171,20260112,C02682,98,0,L002,1,14699.33,14699.33,livré
ORD-000172,20260115,C02507,34,7,L003,3,13868.06,41604.18,annulé
ORD-000173,20250613,C00926,47,1,L001,4,12599.54,50398.16,retourné
ORD-000174,20250526,C00646,32,6,L017,1,5544.55,5544.55,retourné
ORD-000175,20260328,C00322,70,0,L005,1,6438.16,6438.16,en_cours
ORD-000176,20250815,C02814,94,1,L003,3,12494.26,37482.78,en_cours
ORD-000177,20260117,C04574,95,7,L018,1,10216.02,10216.02,annulé
ORD-000179,20250904,C00447,4,4,L014,1,8048.06,8048.06,retourné
ORD-000180,20250606,C01903,65,5,L012,5,8042.6,40213.0,annulé
ORD-000181,20250621,C02014,48,3,-1,4,13396.47,53585.88,livré
ORD-000183,20260119,C03012,92,7,L014,2,3758.97,7517.94,en_cours
ORD-000184,20250908,C02066,24,4,L007,5,862.62,4313.1,en_cours
ORD-000185,20260507,C04210,83,1,L013,3,4485.35,13456.050000000001,annulé
ORD-000186,20250926,C02111,100,2,L019,5,957.62,4788.1,en_cours
ORD-000189,20250829,C03148,42,1,L001,1,1281.09,1281.09,retourné
ORD-000191,20250907,C01907,43,0,L005,4,376.14,1504.56,retourné
ORD-000192,20251128,C01364,36,1,L018,1,4186.26,4186.26,en_cours
ORD-000193,20251013,C04900,77,0,L008,2,10408.17,20816.34,annulé
ORD-000194,20251009,C03062,76,3,L005,2,8784.09,17568.18,livré
ORD-000197,20260130,C02588,79,6,L004,5,11402.26,57011.3,retourné
ORD-000198,20250726,C04701,9,6,L002,2,8424.91,16849.82,en_cours
ORD-000199,20250731,C02727,85,4,L002,5,12173.02,60865.100000000006,annulé
ORD-000200,20250804,C02581,100,2,L017,1,957.62,957.62,en_cours
ORD-000201,20250922,C02778,56,5,L007,5,12291.32,61456.6,livré
ORD-000202,20260128,C00714,26,1,L020,2,3991.56,7983.12,en_cours
ORD-000203,20250723,C02348,72,1,L019,2,10547.78,21095.56,retourné
ORD-000204,20250603,C02586,61,6,L003,3,12765.78,38297.340000000004,annulé
ORD-000205,20250531,C02566,19,4,L014,4,12958.91,51835.64,livré
ORD-000206,20250605,C00539,81,6,L005,2,6927.1,13854.2,en_cours
ORD-000207,20251009,C00312,55,0,L015,3,1724.7,5174.1,retourné
ORD-000208,20260415,C00386,9,5,L008,3,8424.91,25274.73,retourné
ORD-000209,20250518,C01058,44,1,L018,3,6000.8,18002.4,livré
ORD-000211,20251004,C04330,81,7,L003,5,6927.1,34635.5,livré
ORD-000212,20260210,C02824,52,1,L019,1,6434.91,6434.91,en_cours
ORD-000214,20260126,C02479,55,7,L017,1,1724.7,1724.7,en_cours
ORD-000215,20260110,C03470,18,0,L014,3,13236.92,39710.76,annulé
ORD-000216,20260307,C01286,80,1,L008,5,9454.03,47270.15,annulé
ORD-000217,20250824,C02061,92,1,L003,4,3758.97,15035.88,retourné
ORD-000218,20251023,C00981,76,5,L017,5,8784.09,43920.45,livré
ORD-000219,20251218,C04079,94,1,L020,5,12494.26,62471.3,annulé
ORD-000220,20260121,C00925,93,2,L008,1,4435.51,4435.51,annulé
ORD-000221,20251206,C03748,41,4,-1,2,8703.97,17407.94,en_cours
ORD-000222,20251127,C02436,63,0,L002,2,268.48,536.96,annulé
ORD-000223,20250701,C02453,75,7,L018,3,3441.58,10324.74,retourné
ORD-000225,20251103,C01145,64,5,L007,2,4968.56,9937.12,retourné
ORD-000226,20250724,C02559,36,4,L008,1,4186.26,4186.26,en_cours
ORD-000227,20250719,C00382,8,4,L002,2,13697.91,27395.82,en_cours
ORD-000228,20250721,C00139,66,4,L002,5,4450.73,22253.649999999998,annulé
ORD-000229,20250721,C02208,71,6,L020,4,2615.47,10461.88,annulé
ORD-000230,20251123,C00568,1,0,L010,5,2101.67,10508.35,livré
ORD-000231,20260422,C00211,42,6,L002,3,1281.09,3843.2699999999995,en_cours
ORD-000232,20260218,C03440,82,1,L016,1,8273.46,8273.46,livré
ORD-000233,20250928,C02977,32,4,L016,1,5544.55,5544.55,livré
ORD-000234,20250528,C01739,10,3,L008,3,716.27,2148.81,livré
ORD-000235,20250811,C01069,67,1,L018,4,13028.23,52112.92,retourné
ORD-000236,20250802,C01125,99,7,L006,4,10088.39,40353.56,livré
ORD-000237,20250929,C00426,88,1,L013,3,4317.81,12953.43,retourné
ORD-000238,20260131,C02066,13,6,L010,1,5614.97,5614.97,annulé
ORD-000239,20251004,C03442,84,4,L003,5,2837.9,14189.5,livré
ORD-000240,20250604,C04122,90,4,L020,2,11889.87,23779.74,livré
ORD-000241,20260113,C04581,7,1,L015,1,9603.6,9603.6,retourné
ORD-000242,20250914,C01512,45,0,L008,4,3745.48,14981.92,livré
ORD-000243,20260421,C03487,7,3,L001,1,9603.6,9603.6,annulé
ORD-000245,20260402,C00780,8,0,L019,3,13697.91,41093.729999999996,livré
ORD-000246,20250917,C04979,81,1,-1,5,6927.1,34635.5,livré
ORD-000247,20260218,C00879,22,7,-1,3,42.31,126.93,annulé
ORD-000248,20250914,C01489,51,7,L020,2,11974.15,23948.3,annulé
ORD-000249,20250901,C04958,31,1,L009,1,6633.11,6633.11,en_cours
ORD-000250,20250831,C04110,16,4,L018,4,1823.85,7295.4,annulé
ORD-000251,20260219,C04884,9,7,L020,2,8424.91,16849.82,en_cours
ORD-000252,20260207,C00459,46,0,L016,2,9193.66,18387.32,en_cours
ORD-000254,20251113,C04468,48,6,L014,1,13396.47,13396.47,retourné
ORD-000255,20250513,C00585,8,7,L007,1,13697.91,13697.91,livré
ORD-000256,20251024,C01918,72,0,L018,5,10547.78,52738.9,retourné
ORD-000257,20260511,C03514,78,0,L010,5,7723.8,38619.0,retourné
ORD-000258,20251206,C02118,39,2,L014,5,9966.92,49834.6,annulé
ORD-000259,20250716,C02817,13,4,L003,5,5614.97,28074.850000000002,annulé
ORD-000260,20250629,C01477,74,6,L004,4,10333.28,41333.12,livré
ORD-000261,20260127,C00479,11,1,L018,2,14137.04,28274.08,retourné
ORD-000262,20250514,C03779,86,7,L016,5,7894.01,39470.05,livré
ORD-000263,20260415,C02448,7,6,L013,1,9603.6,9603.6,annulé
ORD-000264,20251010,C02739,1,2,L017,1,2101.67,2101.67,en_cours
ORD-000265,20250918,C03729,26,0,L009,3,3991.56,11974.68,en_cours
ORD-000266,20250924,C00854,64,0,L011,2,4968.56,9937.12,retourné
ORD-000267,20250531,C00460,15,0,L017,3,7919.83,23759.489999999998,retourné
ORD-000268,20260127,C00375,22,7,L004,4,42.31,169.24,en_cours
ORD-000269,20260120,C02935,7,3,L017,1,9603.6,9603.6,annulé
ORD-000270,20260331,C01186,8,2,L013,2,13697.91,27395.82,livré
ORD-000271,20250529,C03963,85,7,L004,4,12173.02,48692.08,retourné
ORD-000273,20250714,C04775,34,1,L016,2,13868.06,27736.12,livré
ORD-000274,20250919,C01869,43,1,L016,5,376.14,1880.6999999999998,retourné
ORD-000275,20260329,C04155,65,0,L003,5,8042.6,40213.0,retourné
ORD-000277,20260412,C03433,35,0,L017,2,3344.28,6688.56,en_cours
ORD-000278,20250711,C02563,76,6,L013,1,8784.09,8784.09,retourné
ORD-000279,20250718,C02568,63,3,-1,2,268.48,536.96,retourné
ORD-000281,20260303,C03761,83,7,L016,5,4485.35,22426.75,annulé
ORD-000282,20260118,C00358,13,1,L004,5,5614.97,28074.850000000002,en_cours
ORD-000283,20260301,C00871,70,6,L017,3,6438.16,19314.48,livré
ORD-000284,20251105,C02928,54,3,L015,1,9755.66,9755.66,livré
ORD-000285,20251107,C03476,39,7,L014,1,9966.92,9966.92,annulé
ORD-000286,20251112,C00613,42,1,L008,2,1281.09,2562.18,livré
ORD-000287,20250517,C01981,76,2,L006,2,8784.09,17568.18,retourné
ORD-000288,20250616,C00691,99,6,L017,3,10088.39,30265.17,annulé
ORD-000289,20251215,C02355,78,7,L007,4,7723.8,30895.2,retourné
ORD-000290,20260314,C02718,58,6,L018,5,1043.66,5218.3,en_cours
ORD-000291,20251018,C03741,88,1,L016,1,4317.81,4317.81,livré
ORD-000292,20251204,C02349,35,0,L010,5,3344.28,16721.4,annulé
ORD-000293,20250513,C03044,42,1,L013,4,1281.09,5124.36,livré
ORD-000294,20260208,C03119,72,7,L011,2,10547.78,21095.56,retourné
ORD-000295,20250810,C04652,73,0,L017,1,3991.83,3991.83,en_cours
ORD-000296,20250614,C04783,98,1,L003,3,14699.33,44097.99,en_cours
ORD-000297,20251224,C00033,30,4,L016,1,12693.09,12693.09,retourné
ORD-000298,20250523,C00241,98,5,L002,4,14699.33,58797.32,retourné
ORD-000299,20251019,C03222,9,0,L016,1,8424.91,8424.91,en_cours
ORD-000300,20250519,C02535,8,3,L011,1,13697.91,13697.91,en_cours
ORD-000301,20260223,C02364,12,7,L020,4,10834.16,43336.64,en_cours
ORD-000302,20250715,C04415,31,1,L018,1,6633.11,6633.11,livré
ORD-000303,20260102,C00454,64,3,L016,2,4968.56,9937.12,en_cours
ORD-000304,20251030,C01745,41,7,L006,2,8703.97,17407.94,annulé
ORD-000305,20250908,C03472,37,6,L002,2,14556.31,29112.62,annulé
ORD-000306,20260303,C01777,24,4,L009,4,862.62,3450.48,en_cours
ORD-000307,20260429,C03739,29,2,L010,5,11138.83,55694.15,livré
ORD-000308,20260213,C02294,15,3,-1,2,7919.83,15839.66,en_cours
ORD-000310,20251114,C00680,36,7,L008,5,4186.26,20931.300000000003,en_cours
ORD-000312,20250807,C01794,64,6,L011,2,4968.56,9937.12,livré
ORD-000313,20251028,C02067,45,1,L016,5,3745.48,18727.4,annulé
ORD-000314,20250808,C00712,84,5,-1,2,2837.9,5675.8,en_cours
ORD-000315,20250802,C02747,98,3,L015,1,14699.33,14699.33,en_cours
ORD-000316,20250607,C01138,4,2,L005,2,8048.06,16096.12,retourné
ORD-000317,20251022,C03251,69,7,L001,5,1286.86,6434.299999999999,retourné
ORD-000318,20250808,C02326,70,6,L018,2,6438.16,12876.32,retourné
ORD-000319,20250724,C01385,80,4,L019,5,9454.03,47270.15,livré
ORD-000320,20250724,C02621,2,6,L007,4,2990.58,11962.32,retourné
ORD-000321,20250520,C01029,8,3,L007,2,13697.91,27395.82,retourné
ORD-000322,20260405,C03212,78,5,L003,5,7723.8,38619.0,livré
ORD-000323,20251122,C02066,53,7,L018,2,4181.07,8362.14,en_cours
ORD-000324,20250815,C00154,7,0,L007,3,9603.6,28810.800000000003,annulé
ORD-000326,20260218,C01816,13,2,L008,1,5614.97,5614.97,en_cours
ORD-000327,20260329,C03534,5,2,L003,5,696.91,3484.5499999999997,annulé
ORD-000329,20250618,C02307,87,6,L014,1,12786.6,12786.6,retourné
ORD-000330,20260416,C00841,5,3,L013,3,696.91,2090.73,en_cours
ORD-000331,20260401,C01348,61,2,L007,4,12765.78,51063.12,annulé
ORD-000332,20260421,C03755,48,1,L016,3,13396.47,40189.409999999996,en_cours
ORD-000334,20260426,C01831,95,4,L017,2,10216.02,20432.04,en_cours
ORD-000335,20250926,C04913,16,5,L015,1,1823.85,1823.85,livré
ORD-000336,20260125,C01420,87,2,L007,2,12786.6,25573.2,en_cours
ORD-000337,20251213,C01076,30,4,L005,2,12693.09,25386.18,livré
ORD-000338,20251120,C03122,50,2,L012,4,4486.2,17944.8,retourné
ORD-000339,20251208,C02115,31,0,L004,1,6633.11,6633.11,annulé
ORD-000340,20251002,C02141,50,7,L010,1,4486.2,4486.2,retourné
ORD-000341,20250625,C00909,81,4,L016,4,6927.1,27708.4,retourné
ORD-000342,20250802,C03078,83,6,L012,5,4485.35,22426.75,retourné
ORD-000343,20250803,C00329,24,4,L018,4,862.62,3450.48,en_cours
ORD-000344,20250914,C02384,41,3,L016,3,8703.97,26111.909999999996,en_cours
ORD-000345,20260219,C02025,47,0,L014,5,12599.54,62997.700000000004,en_cours
ORD-000346,20260407,C02565,21,7,L015,1,14989.24,14989.24,retourné
ORD-000347,20260226,C00358,7,7,L019,1,9603.6,9603.6,annulé
ORD-000349,20251119,C02776,48,3,L003,4,13396.47,53585.88,livré
ORD-000350,20250806,C02259,96,6,L005,4,4433.71,17734.84,en_cours
ORD-000351,20250512,C00270,86,4,L016,1,7894.01,7894.01,retourné
ORD-000352,20260216,C00305,35,7,L015,1,3344.28,3344.28,annulé
ORD-000353,20260428,C04037,8,3,L011,5,13697.91,68489.55,livré
ORD-000354,20250610,C01696,66,3,-1,2,4450.73,8901.46,annulé
ORD-000355,20260126,C01267,1,0,L008,4,2101.67,8406.68,livré
ORD-000356,20260108,C04400,6,0,L013,5,5559.01,27795.050000000003,retourné
ORD-000357,20251121,C00364,44,3,L009,2,6000.8,12001.6,en_cours
ORD-000358,20250611,C04979,9,2,L014,1,8424.91,8424.91,retourné
ORD-000359,20251122,C02658,44,0,L014,3,6000.8,18002.4,en_cours
ORD-000360,20251226,C03405,30,3,L004,1,12693.09,12693.09,livré
ORD-000361,20251213,C03095,26,6,L009,2,3991.56,7983.12,annulé
ORD-000362,20251016,C04184,13,6,L018,3,5614.97,16844.91,en_cours
ORD-000363,20251012,C00896,47,7,L020,1,12599.54,12599.54,en_cours
ORD-000364,20250603,C03471,3,0,L001,5,2340.64,11703.199999999999,en_cours
ORD-000365,20260216,C04350,93,7,L002,3,4435.51,13306.53,retourné
ORD-000366,20251023,C02863,78,1,L019,1,7723.8,7723.8,livré
ORD-000367,20250615,C03453,39,5,-1,3,9966.92,29900.760000000002,livré
ORD-000368,20251122,C03373,18,2,L017,5,13236.92,66184.6,en_cours
ORD-000369,20260317,C01434,49,6,L019,3,6994.21,20982.63,en_cours
ORD-000371,20250619,C00320,6,4,L004,4,5559.01,22236.04,livré
ORD-000372,20251115,C04998,6,2,L013,5,5559.01,27795.050000000003,annulé
ORD-000373,20260118,C01724,12,2,L020,3,10834.16,32502.48,retourné
ORD-000374,20250606,C00889,76,1,L010,3,8784.09,26352.27,annulé
ORD-000375,20251107,C00650,11,0,L020,3,14137.04,42411.12,retourné
ORD-000376,20250811,C04682,99,0,L008,2,10088.39,20176.78,livré
ORD-000377,20250514,C02003,97,3,L018,5,12372.1,61860.5,livré
ORD-000378,20260402,C02215,26,4,L006,3,3991.56,11974.68,retourné
ORD-000379,20260215,C00051,75,6,L020,1,3441.58,3441.58,livré
ORD-000380,20250723,C01211,97,0,L014,3,12372.1,37116.3,annulé
ORD-000381,20260213,C03804,31,0,L016,1,6633.11,6633.11,en_cours
ORD-000382,20260502,C04560,80,5,L008,3,9454.03,28362.090000000004,retourné
ORD-000383,20251001,C00412,20,7,L011,4,6734.72,26938.88,annulé
ORD-000384,20251230,C04639,43,1,L018,1,376.14,376.14,retourné
ORD-000385,20250511,C00909,36,0,L009,1,4186.26,4186.26,annulé
ORD-000386,20251012,C04767,35,6,L004,5,3344.28,16721.4,livré
ORD-000387,20260416,C00298,96,6,L013,1,4433.71,4433.71,retourné
ORD-000388,20250704,C03878,15,3,L018,3,7919.83,23759.489999999998,annulé
ORD-000389,20251027,C00589,60,0,L007,2,14019.98,28039.96,retourné
ORD-000390,20260220,C01795,16,1,L006,3,1823.85,5471.549999999999,livré
ORD-000391,20251223,C01489,94,0,L015,4,12494.26,49977.04,annulé
ORD-000392,20260325,C00465,76,5,L020,3,8784.09,26352.27,annulé
ORD-000393,20250609,C01850,67,1,L020,2,13028.23,26056.46,retourné
ORD-000394,20250529,C01575,93,5,L016,2,4435.51,8871.02,annulé
ORD-000395,20251123,C04245,9,3,L007,5,8424.91,42124.55,retourné
ORD-000396,20260409,C01517,53,7,L012,3,4181.07,12543.21,en_cours
ORD-000397,20260303,C00505,6,2,L016,4,5559.01,22236.04,retourné
ORD-000398,20250711,C02240,67,5,L007,2,13028.23,26056.46,livré
ORD-000399,20250922,C02050,36,6,L014,1,4186.26,4186.26,en_cours
ORD-000401,20250818,C01543,5,7,L004,1,696.91,696.91,en_cours
