id_client,nom_complet,email,tranche_age,sexe,ville,segment_client,canal_acquisition,region
C03161,Khadija Ghazali,khadija.ghazali67@hotmail.com,65+,f,Oujda,Gold,Google,Oriental
C04967,Omar El Fassi,,,f,Oujda,Gold,Direct,Oriental
C00008,Anas Kabbaj,anas.kabbaj562@hotmail.com,65+,f,Oujda,Silver,Facebook,Oriental
C02720,Ahmed El Fassi,,,m,Marrakech,Gold,Direct,Marrakech-Safi
C00482,Mehdi Haddad,,,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C04978,Ahmed Drissi,ahmed.drissi171@hotmail.com,35-44,f,Agadir,Gold,Google,Souss-Massa
C03092,Imane Ghazali,imane.ghazali922@yahoo.fr,65+,f,Oujda,Gold,Google,Oriental
C03046,Sanaa El Fassi,,,m,Casablanca,Gold,Instagram,Casablanca-Settat
C04517,Khadija Ghazali,khadija.ghazali115@gmail.com,<18,f,Tnja,Gold,Direct,
C01387,Khadija Alami,khadija.alami34@outlook.com,35-44,f,Meknès,Gold,Facebook,Fès-Meknès
C02937,Ahmed El Fassi,,18-24,m,Rabat,Bronze,Direct,Rabat-Salé-Kénitra
C04498,Sanaa Alami,sanaa.alami563@yahoo.fr,,m,Agadir,Gold,Facebook,Souss-Massa
C02654,Khadija Kabbaj,khadija.kabbaj823@yahoo.fr,35-44,m,Fès,Gold,Instagram,Fès-Meknès
C03005,Zineb El Fassi,,,f,TNG,Gold,Direct,
C03710,Anas Kabbaj,anas.kabbaj700@gmail.com,,f,Marrakech,Bronze,Google,Marrakech-Safi
C04496,Mehdi Haddad,mehdi.haddad447@yahoo.fr,45-54,m,Marrakech,Bronze,Facebook,Marrakech-Safi
C01398,Ahmed Bennani,ahmed.bennani683@yahoo.fr,,f,Marrakech,Gold,Facebook,Marrakech-Safi
C00228,Anas Drissi,anas.drissi281@outlook.com,18-24,f,Oujda,Silver,Instagram,Oriental
C01248,Khadija Kabbaj,khadija.kabbaj769@outlook.com,65+,f,Meknès,Gold,Facebook,Fès-Meknès
C02944,Fatima Kabbaj,fatima.kabbaj132@gmail.com,,f,Fès,Gold,Direct,Fès-Meknès
C02898,Anas Haddad,anas.haddad249@outlook.com,18-24,m,Meknès,Silver,Facebook,Fès-Meknès
C00267,Omar El Fassi,,<18,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C01451,Sanaa Kabbaj,sanaa.kabbaj361@yahoo.fr,35-44,m,Meknès,Gold,Google,Fès-Meknès
C04141,Zineb Ghazali,zineb.ghazali660@hotmail.com,55-64,f,Meknès,Gold,Google,Fès-Meknès
C03934,Ahmed Kabbaj,ahmed.kabbaj162@yahoo.fr,45-54,m,Fès,Bronze,Direct,Fès-Meknès
C01402,Ahmed Drissi,,,m,Tanger,Gold,Instagram,Tanger-Tétouan-Al Hoceïma
C04950,Ahmed Drissi,ahmed.drissi551@gmail.com,,f,Tanger,Bronze,Google,Tanger-Tétouan-Al Hoceïma
C04799,Mehdi Chraibi,mehdi.chraibi283@outlook.com,,f,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C03728,Imane Ghazali,imane.ghazali874@yahoo.fr,,m,Fès,Gold,Direct,Fès-Meknès
C01633,Ahmed Drissi,ahmed.drissi509@yahoo.fr,,f,Marrakech,Gold,Google,Marrakech-Safi
C01669,Anas Alami,anas.alami760@outlook.com,,m,Agadir,Bronze,Google,Souss-Massa
C01982,Zineb Bennani,zineb.bennani745@gmail.com,,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C02468,Imane Haddad,imane.haddad975@gmail.com,,f,Fès,Gold,Instagram,Fès-Meknès
C00692,Ahmed Chraibi,ahmed.chraibi375@yahoo.fr,,f,Marrakech,Gold,Instagram,Marrakech-Safi
C00478,Omar Bennani,omar.bennani843@outlook.com,25-34,f,Casablanca,Gold,Instagram,Casablanca-Settat
C01051,Zineb Bennani,zineb.bennani834@yahoo.fr,65+,f,tanger,Gold,Google,
C00796,Khadija Idrissi,khadija.idrissi731@hotmail.com,,f,Fès,Gold,Facebook,Fès-Meknès
C02936,Anas Drissi,anas.drissi434@outlook.com,,f,Marrakech,Gold,Facebook,Marrakech-Safi
C01133,Anas Haddad,anas.haddad874@gmail.com,,m,Meknès,Bronze,Google,Fès-Meknès
C00448,Khadija El Fassi,,,m,Meknès,Silver,Google,Fès-Meknès
C03050,Youssef Idrissi,youssef.idrissi590@outlook.com,,f,Fès,Gold,Direct,Fès-Meknès
C02579,Fatima Alami,fatima.alami951@hotmail.com,55-64,f,Fès,Gold,Google,Fès-Meknès
C04542,Khadija Idrissi,khadija.idrissi689@yahoo.fr,,f,Marrakech,Gold,Google,Marrakech-Safi
C02150,Imane El Fassi,,,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C02049,Youssef Chraibi,youssef.chraibi526@yahoo.fr,,m,Casablanca,Gold,Direct,Casablanca-Settat
C00741,Omar El Fassi,,55-64,f,Oujda,Gold,Direct,Oriental
C03116,Sanaa El Fassi,,,m,Rabat,Silver,Facebook,Rabat-Salé-Kénitra
C00189,Khadija Alami,khadija.alami764@outlook.com,65+,m,Fès,Gold,Facebook,Fès-Meknès
C00390,Anas Bennani,anas.bennani726@gmail.com,35-44,f,Marrakech,Silver,Google,Marrakech-Safi
C04835,Imane Jebli,imane.jebli199@hotmail.com,65+,f,Marrakech,Gold,Direct,Marrakech-Safi
C00376,Ahmed Chraibi,ahmed.chraibi739@outlook.com,,m,Oujda,Gold,Direct,Oriental
C01169,Ahmed Bennani,ahmed.bennani701@outlook.com,45-54,m,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C02219,Imane Ghazali,imane.ghazali305@hotmail.com,55-64,f,Marrakech,Gold,Facebook,Marrakech-Safi
C02743,Imane Bennani,imane.bennani535@outlook.com,,f,Meknès,Gold,Instagram,Fès-Meknès
C01183,Fatima Bennani,fatima.bennani516@yahoo.fr,35-44,f,Meknès,Silver,Google,Fès-Meknès
C00907,Anas Ghazali,anas.ghazali731@hotmail.com,55-64,f,Fès,Gold,Google,Fès-Meknès
C02450,Zineb Idrissi,zineb.idrissi201@outlook.com,,m,tanger,Gold,Google,
C04383,Youssef Ghazali,youssef.ghazali597@yahoo.fr,55-64,f,Casablanca,Silver,Google,Casablanca-Settat
C02951,Khadija Chraibi,,25-34,f,Meknès,Gold,Direct,Fès-Meknès
C03897,Anas El Fassi,,35-44,f,Agadir,Gold,Instagram,Souss-Massa
C04745,Anas El Fassi,,65+,f,Marrakech,Gold,Instagram,Marrakech-Safi
C01254,Anas Jebli,anas.jebli567@gmail.com,35-44,f,Meknès,Gold,Direct,Fès-Meknès
C02878,Anas Alami,anas.alami936@gmail.com,18-24,f,Oujda,Gold,Direct,Oriental
C03069,Sanaa Jebli,sanaa.jebli43@gmail.com,25-34,f,Tanger,Gold,Facebook,Tanger-Tétouan-Al Hoceïma
C04494,Zineb Alami,,65+,f,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C02619,Youssef Idrissi,youssef.idrissi152@outlook.com,,m,Agadir,Gold,Google,Souss-Massa
C01658,Mehdi Alami,mehdi.alami817@hotmail.com,45-54,f,Marrakech,Gold,Instagram,Marrakech-Safi
C00140,Fatima Chraibi,fatima.chraibi608@yahoo.fr,35-44,m,Casablanca,Gold,Google,Casablanca-Settat
C04075,Sanaa Bennani,sanaa.bennani213@hotmail.com,55-64,m,Oujda,Gold,Direct,Oriental
C04430,Fatima Kabbaj,fatima.kabbaj401@gmail.com,,m,Fès,Gold,Facebook,Fès-Meknès
C03119,Mehdi Bennani,mehdi.bennani485@outlook.com,45-54,f,Marrakech,Gold,Instagram,Marrakech-Safi
C00623,Khadija El Fassi,,,m,Meknès,Gold,Instagram,Fès-Meknès
C04446,Mehdi Idrissi,mehdi.idrissi854@gmail.com,,m,Agadir,Gold,Instagram,Souss-Massa
C00731,Zineb Alami,zineb.alami531@yahoo.fr,,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C04612,Youssef Bennani,youssef.bennani755@gmail.com,65+,f,Casablanca,Gold,Direct,Casablanca-Settat
C02926,Mehdi Kabbaj,mehdi.kabbaj210@hotmail.com,55-64,m,Marrakech,Gold,Google,Marrakech-Safi
C03146,Zineb Bennani,zineb.bennani734@outlook.com,,f,Agadir,Silver,Facebook,Souss-Massa
C03900,Zineb Ghazali,,,f,Meknès,Gold,Direct,Fès-Meknès
C01223,Mehdi Alami,mehdi.alami218@yahoo.fr,,m,Agadir,Gold,Facebook,Souss-Massa
C00417,Imane Idrissi,imane.idrissi791@yahoo.fr,35-44,f,tanger,Bronze,Instagram,
C00119,Sanaa Haddad,sanaa.haddad109@gmail.com,65+,m,Meknès,Bronze,Google,Fès-Meknès
C00316,Anas Alami,anas.alami531@yahoo.fr,65+,f,Agadir,Bronze,Instagram,Souss-Massa
C02054,Fatima Haddad,fatima.haddad612@hotmail.com,,m,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C01784,Ahmed Bennani,ahmed.bennani578@yahoo.fr,55-64,f,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C00045,Zineb El Fassi,,65+,f,Oujda,Gold,Direct,Oriental
C02000,Youssef El Fassi,,,f,Agadir,Gold,Facebook,Souss-Massa
C02859,Anas Alami,anas.alami920@yahoo.fr,35-44,f,tanger,Gold,Facebook,
C03461,Imane Chraibi,imane.chraibi916@outlook.com,65+,f,Tnja,Gold,Instagram,
C04639,Anas Alami,anas.alami532@yahoo.fr,35-44,f,Oujda,Gold,Instagram,Oriental
C00591,Youssef Drissi,youssef.drissi732@gmail.com,35-44,f,Casablanca,Gold,Instagram,Casablanca-Settat
C04408,Anas Idrissi,anas.idrissi554@outlook.com,,f,Marrakech,Gold,Instagram,Marrakech-Safi
C04802,Mehdi Chraibi,mehdi.chraibi504@gmail.com,65+,m,Agadir,Gold,Google,Souss-Massa
C02683,Fatima Chraibi,fatima.chraibi686@hotmail.com,65+,m,Casablanca,Bronze,Instagram,Casablanca-Settat
C00815,Youssef Idrissi,youssef.idrissi16@yahoo.fr,25-34,f,Tnja,Silver,Google,
C01434,Imane Chraibi,imane.chraibi911@hotmail.com,65+,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C02748,Khadija Alami,khadija.alami96@outlook.com,65+,m,Fès,Gold,Direct,Fès-Meknès
C02102,Fatima Alami,fatima.alami754@yahoo.fr,18-24,f,Casablanca,Silver,Direct,Casablanca-Settat
C04953,Sanaa Kabbaj,sanaa.kabbaj510@yahoo.fr,35-44,f,Fès,Gold,Facebook,Fès-Meknès
C03644,Imane Kabbaj,imane.kabbaj522@hotmail.com,65+,f,Fès,Gold,Instagram,Fès-Meknès
C04926,Fatima Haddad,fatima.haddad72@outlook.com,35-44,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C01871,Khadija El Fassi,,65+,m,Casablanca,Gold,Google,Casablanca-Settat
C03322,Omar Alami,omar.alami917@gmail.com,45-54,f,Fès,Bronze,Direct,Fès-Meknès
C00742,Imane Bennani,imane.bennani864@hotmail.com,,m,Casablanca,Gold,Direct,Casablanca-Settat
C02992,Youssef Idrissi,youssef.idrissi328@outlook.com,25-34,f,Oujda,Gold,Google,Oriental
C01139,Ahmed Kabbaj,ahmed.kabbaj897@gmail.com,,m,Fès,Gold,Instagram,Fès-Meknès
C01500,Anas Bennani,anas.bennani814@yahoo.fr,,m,TNG,Gold,Direct,
C01099,Fatima Ghazali,,45-54,m,Marrakech,Gold,Direct,Marrakech-Safi
C02343,Ahmed Alami,ahmed.alami938@yahoo.fr,,m,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C01246,Anas Jebli,anas.jebli848@yahoo.fr,,f,Agadir,Gold,Direct,Souss-Massa
C02444,Mehdi Idrissi,mehdi.idrissi24@gmail.com,,f,Oujda,Gold,Google,Oriental
C00480,Ahmed Haddad,ahmed.haddad205@hotmail.com,65+,m,Marrakech,Gold,Direct,Marrakech-Safi
C02764,Imane Alami,imane.alami451@yahoo.fr,25-34,m,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C02083,Imane Ghazali,imane.ghazali429@outlook.com,,f,Oujda,Gold,Facebook,Oriental
C01442,Imane Kabbaj,imane.kabbaj423@yahoo.fr,,m,Tanger,Gold,Facebook,Tanger-Tétouan-Al Hoceïma
C04300,Zineb Alami,zineb.alami62@yahoo.fr,,m,Fès,Gold,Instagram,Fès-Meknès
C00162,Fatima Idrissi,fatima.idrissi105@yahoo.fr,,m,Oujda,Gold,Facebook,Oriental
C03473,Khadija El Fassi,,25-34,f,Meknès,Gold,Direct,Fès-Meknès
C01457,Youssef Chraibi,youssef.chraibi942@gmail.com,65+,f,Marrakech,Gold,Google,Marrakech-Safi
C02287,Mehdi Idrissi,mehdi.idrissi360@yahoo.fr,65+,m,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C03525,Sanaa Idrissi,sanaa.idrissi374@hotmail.com,65+,f,Casablanca,Silver,Direct,Casablanca-Settat
C02998,Fatima Chraibi,fatima.chraibi956@yahoo.fr,,m,Agadir,Bronze,Instagram,Souss-Massa
C00874,Khadija Chraibi,khadija.chraibi309@hotmail.com,65+,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C04519,Ahmed Jebli,ahmed.jebli220@yahoo.fr,18-24,f,Agadir,Gold,Facebook,Souss-Massa
C00497,Khadija Chraibi,khadija.chraibi398@outlook.com,,m,Oujda,Bronze,Google,Oriental
C01390,Zineb Bennani,,65+,m,Oujda,Silver,Google,Oriental
C03357,Fatima Drissi,fatima.drissi72@gmail.com,65+,f,Meknès,Gold,Instagram,Fès-Meknès
C02883,Youssef Idrissi,youssef.idrissi981@yahoo.fr,65+,m,Agadir,Gold,Facebook,Souss-Massa
C00197,Imane El Fassi,,45-54,f,Fès,Gold,Facebook,Fès-Meknès
C01289,Ahmed Jebli,,45-54,f,Meknès,Gold,Google,Fès-Meknès
C04079,Khadija Kabbaj,khadija.kabbaj239@yahoo.fr,65+,f,Casablanca,Bronze,Instagram,Casablanca-Settat
C01559,Omar Ghazali,omar.ghazali54@gmail.com,55-64,f,Tanger,Silver,Instagram,Tanger-Tétouan-Al Hoceïma
C01261,Mehdi Drissi,mehdi.drissi888@yahoo.fr,65+,m,Fès,Gold,Instagram,Fès-Meknès
C01186,Mehdi Chraibi,mehdi.chraibi705@gmail.com,,f,Tanger,Gold,Direct,Tanger-Tétouan-Al Hoceïma
C02537,Omar Haddad,omar.haddad898@outlook.com,65+,f,Meknès,Gold,Instagram,Fès-Meknès
C04306,Mehdi Ghazali,mehdi.ghazali515@outlook.com,65+,f,Marrakech,Gold,Instagram,Marrakech-Safi
C04455,Anas Ghazali,anas.ghazali986@yahoo.fr,65+,f,Fès,Gold,Google,Fès-Meknès
C03268,Youssef Jebli,youssef.jebli917@gmail.com,,m,Marrakech,Gold,Instagram,Marrakech-Safi
C04900,Omar Chraibi,omar.chraibi372@gmail.com,65+,m,Meknès,Gold,Facebook,Fès-Meknès
C02477,Anas Ghazali,anas.ghazali471@gmail.com,,m,tanger,Gold,Direct,
C04501,Imane Kabbaj,imane.kabbaj171@outlook.com,,f,Marrakech,Gold,Google,Marrakech-Safi
C00986,Zineb Chraibi,,18-24,m,Casablanca,Bronze,Google,Casablanca-Settat
C03717,Fatima Idrissi,fatima.idrissi847@yahoo.fr,35-44,m,Oujda,Gold,Direct,Oriental
C03571,Anas Ghazali,anas.ghazali494@yahoo.fr,45-54,m,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C01397,Mehdi Alami,mehdi.alami704@yahoo.fr,,f,Fès,Gold,Google,Fès-Meknès
C01642,Mehdi Kabbaj,mehdi.kabbaj685@outlook.com,65+,f,Tnja,Gold,Instagram,
C01506,Ahmed Chraibi,ahmed.chraibi11@hotmail.com,,f,Agadir,Gold,Direct,Souss-Massa
C00977,Anas Haddad,,,m,Marrakech,Gold,Instagram,Marrakech-Safi
C04909,Khadija Drissi,khadija.drissi83@yahoo.fr,25-34,m,Casablanca,Gold,Facebook,Casablanca-Settat
C03577,Anas Idrissi,anas.idrissi83@gmail.com,25-34,m,Marrakech,Gold,Facebook,Marrakech-Safi
C02220,Ahmed El Fassi,,25-34,m,Marrakech,Gold,Direct,Marrakech-Safi
C01073,Khadija Jebli,khadija.jebli654@gmail.com,,m,Rabat,Gold,Facebook,Rabat-Salé-Kénitra
C03182,Mehdi Bennani,mehdi.bennani924@yahoo.fr,65+,m,TNG,Gold,Google,
C02169,Imane Kabbaj,imane.kabbaj810@hotmail.com,35-44,f,Agadir,Bronze,Facebook,Souss-Massa
C02787,Anas El Fassi,,65+,f,Meknès,Gold,Direct,Fès-Meknès
C03964,Anas Idrissi,anas.idrissi145@hotmail.com,65+,m,Fès,Gold,Facebook,Fès-Meknès
C00455,Khadija Chraibi,khadija.chraibi31@gmail.com,35-44,f,Oujda,Gold,Instagram,Oriental
C01539,Mehdi Drissi,mehdi.drissi15@yahoo.fr,,f,TNG,Gold,Instagram,
C03624,Mehdi Haddad,mehdi.haddad172@gmail.com,,m,Tnja,Gold,Google,
C03720,Mehdi Idrissi,mehdi.idrissi439@gmail.com,55-64,m,TANGER,Gold,Facebook,
C01210,Anas Idrissi,anas.idrissi539@outlook.com,45-54,m,Casablanca,Bronze,Google,Casablanca-Settat
C00047,Ahmed Chraibi,,65+,f,Tanger,Bronze,Direct,Tanger-Tétouan-Al Hoceïma
C04828,Zineb Haddad,zineb.haddad547@hotmail.com,,m,Tnja,Gold,Direct,
C04786,Youssef El Fassi,,<18,f,Fès,Gold,Direct,Fès-Meknès
C03660,Mehdi Chraibi,,,m,Casablanca,Gold,Google,Casablanca-Settat
C01969,Imane Drissi,imane.drissi910@gmail.com,65+,f,Oujda,Gold,Direct,Oriental
C02932,Zineb Jebli,zineb.jebli618@gmail.com,18-24,f,Casablanca,Gold,Instagram,Casablanca-Settat
C02013,Mehdi Chraibi,mehdi.chraibi826@hotmail.com,55-64,f,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C03740,Zineb Kabbaj,zineb.kabbaj419@gmail.com,,f,Meknès,Gold,Google,Fès-Meknès
C01483,Khadija Idrissi,khadija.idrissi342@outlook.com,,f,Agadir,Gold,Direct,Souss-Massa
C02019,Fatima Haddad,fatima.haddad763@outlook.com,25-34,m,Marrakech,Bronze,Direct,Marrakech-Safi
C01951,Zineb Chraibi,zineb.chraibi962@outlook.com,35-44,m,TANGER,Gold,Instagram,
C00118,Zineb Kabbaj,zineb.kabbaj654@gmail.com,,f,Tanger,Gold,Direct,Tanger-Tétouan-Al Hoceïma
C03304,Fatima Alami,fatima.alami101@hotmail.com,18-24,m,Marrakech,Gold,Instagram,Marrakech-Safi
C03444,Sanaa Haddad,sanaa.haddad159@yahoo.fr,18-24,m,Oujda,Bronze,Instagram,Oriental
C02279,Imane Bennani,imane.bennani895@gmail.com,25-34,m,Oujda,Gold,Google,Oriental
C03736,Youssef Drissi,youssef.drissi555@hotmail.com,65+,f,Rabat,Gold,Direct,Rabat-Salé-Kénitra
C00359,Imane Jebli,imane.jebli158@yahoo.fr,25-34,f,Casablanca,Gold,Google,Casablanca-Settat
C02471,Fatima Bennani,fatima.bennani350@yahoo.fr,18-24,m,Meknès,Gold,Instagram,Fès-Meknès
C04056,Zineb El Fassi,,,m,Fès,Gold,Direct,Fès-Meknès
C02637,Imane El Fassi,,18-24,f,Oujda,Gold,Direct,Oriental
C01863,Ahmed Haddad,ahmed.haddad35@gmail.com,,f,Agadir,Gold,Instagram,Souss-Massa
C03291,Anas Haddad,anas.haddad443@outlook.com,45-54,m,Rabat,Gold,Google,Rabat-Salé-Kénitra
C01968,Ahmed Idrissi,ahmed.idrissi930@gmail.com,25-34,m,Rabat,Gold,Instagram,Rabat-Salé-Kénitra
C04465,Youssef Idrissi,youssef.idrissi993@hotmail.com,,f,Oujda,Gold,Direct,Oriental
C00387,Mehdi Kabbaj,mehdi.kabbaj941@hotmail.com,65+,m,Oujda,Gold,Google,Oriental
C01600,Youssef Haddad,youssef.haddad554@outlook.com,65+,f,Oujda,Gold,Direct,Oriental
C01239,Imane Idrissi,imane.idrissi945@outlook.com,25-34,m,Oujda,Silver,Instagram,Oriental
C04690,Ahmed Chraibi,,,f,Fès,Gold,Google,Fès-Meknès
